_step,train/mean_reward,test/mean_reward
10000,-0.3103573213230023,-0.3975031302967916
20000,-0.2973063781876121,-0.2941821781723456
160000,-0.27484511195036826,-0.23617536430415786
180000,-0.2987957223382003,-0.2971714280399217
200000,-0.27564110982822515,-0.25532411093148466
220000,-0.2815247707238203,-0.2561026101572649
250000,-0.2568835569541589,-0.24132351973067792
310000,-0.24418627599190457,-0.24930417558723286
320000,-0.3067101480968781,-0.29486103438854805
