train/global_step,train/mean_reward,test/mean_reward
5,1.286454213957229,
77,1.105787320343489,
142,1.2117101720363042,
201,1.298531608758096,
311,1.2150802884419694,
379,1.2485577679378153,
565,1.2700591828084071,
566,1.2517707009297532,
570,1.2469612958174863,
587,1.2284805905042284,
659,1.260149408782197,
1054,1.3182413557409702,
1109,1.3119042933196416,
1139,1.2694549904882155,
1145,1.2623203960458995,
1184,1.303538941304495,
1247,1.2710406350224728,
1268,1.2649276258455666,
1358,1.2414465884777364,
1446,1.195551058560543,
1480,1.2162542356948916,
1623,1.26373153267652,
1670,1.261690334393916,
1710,1.228687168984037,
2000,1.3651463370712216,
2044,1.364037311483298,
2180,1.3074052850599218,
2206,1.2825213038947532,
2235,1.2893990914365216,
2300,1.2607919654060753,
2375,1.2190437779985157,
2426,1.240442107206352,
2438,1.2384467466100337,
2582,1.2376509624941858,
2684,1.274173425433135,
2717,1.295263232330619,
2876,1.258145644822605,
2924,1.2786207798636493,
3027,1.3610991688748242,
3258,1.6526514810642101,
3460,1.853006349164941,
3567,1.8963163501485505,
3664,1.8766173848235632,
3740,1.8476962061281526,
3753,1.8448355089448745,
3776,1.8128813934866495,
3840,1.7577404601957491,
4046,1.663819716384068,
4070,1.5867109891891025,
4115,1.5587242345271937,
4177,1.6043318749697404,
4224,1.5460233409643567,
4470,1.4024599407145095,
4560,1.3948017596038982,
4649,1.3509846167382733,
4679,1.3681767981644424,
4684,1.3626328706487616,
4726,1.3305812757794682,
4839,1.4601133172288883,
4848,1.4655101570263707,
4893,1.5008328864101734,
4962,1.5129521730080524,
4996,1.536736412853734,
5027,1.5296520175413062,
5053,1.5446040541491624,
5141,1.6733403695805371,
5314,1.6624610021763175,
5392,1.7841877784092943,
5458,1.7429386807635165,
5465,1.7436920365929183,
5471,1.7066762129260669,
5533,1.6776652261665301,
5578,1.6492905625331091,
5624,1.6049454821716753,
5670,1.5175468354625454,
5684,1.4877426904761082,
5815,1.366668670453391,
5835,1.4162011338505094,
5995,1.5745989140327685,
6061,1.5458129883218124,
6189,1.536777349335722,
6264,1.521585777602266,
6296,1.4725294513591316,
6325,1.4611359296073523,
6345,1.4609116658730432,
6352,1.4496682195119672,
6498,1.3480861602416017,
6542,1.2187902464858222,
6545,1.205703474924297,
6577,1.153628394930156,
6597,1.1323529054739707,
6605,1.107613919209618,
6646,1.052416512475162,
6680,1.051106048936271,
6689,1.0639401489724407,
6709,1.099539675577388,
6783,0.9632448895877146,
6792,0.9527945812547118,
6994,0.7627003380393372,
7104,0.8930099124984997,
7456,1.1525510277152056,
7659,1.4279341103658576,
7722,1.4628955368376466,
7739,1.450488427085353,
7863,1.5622315512358882,
7886,1.573426936980395,
7891,1.5792069981782817,
7905,1.5707723155885538,
8025,1.5261030808108635,
8069,1.5997786472035531,
8121,1.6491745364333772,
8196,1.6738691624611224,
8336,1.651840697516729,
8379,1.5951079323706043,
8429,1.5804879587596437,
8441,1.5454300891628057,
8531,1.554376029893412,
